第一条线x,第一条线y,第二条线x,第二条线y,第三条线x,第三条线y,第四条线x,第四条线y,第五条线x,第五条线y,第六条线x,第六条线y
0.002,0.002,0,0.005,0.002,0.003,0.002,0.005,0.005,0.008,0.003,0.005
0.002,0.016,0,0.013,0.002,0.008,0.003,0.022,0.005,0.019,0.003,0.016
0.002,0.025,0,0.017,0.002,0.014,0.002,0.027,0.005,0.028,0.005,0.022
0.003,0.038,-0.002,0.022,0.003,0.019,0.003,0.047,0.003,0.043,0.005,0.036
0.005,0.046,-0.002,0.028,0.003,0.025,0.005,0.065,0.005,0.057,0.005,0.044
0.005,0.05,0,0.038,0.002,0.03,0.014,0.082,0.006,0.068,0.005,0.06
0.003,0.058,0.002,0.044,0,0.031,0.012,0.094,0.011,0.082,0.006,0.069
0.005,0.065,0.002,0.054,0,0.039,0.012,0.121,0.011,0.098,0.006,0.08
0.006,0.074,0.003,0.055,0,0.046,0.014,0.137,0.012,0.104,0.008,0.09
0.008,0.082,0.003,0.06,0.003,0.054,0.014,0.145,0.015,0.116,0.011,0.102
0.009,0.091,0.003,0.066,0.005,0.06,0.018,0.162,0.015,0.119,0.011,0.116
0.011,0.099,0.003,0.071,0.008,0.069,0.02,0.175,0.015,0.127,0.012,0.132
0.011,0.107,0.006,0.076,0.008,0.077,0.023,0.187,0.015,0.138,0.015,0.145
0.009,0.113,0.005,0.082,0.008,0.082,0.026,0.193,0.02,0.146,0.017,0.156
0.011,0.121,0.008,0.09,0.008,0.101,0.026,0.209,0.02,0.153,0.02,0.17
0.011,0.131,0.006,0.096,0.008,0.107,0.028,0.217,0.02,0.157,0.021,0.178
0.014,0.135,0.008,0.101,0.009,0.113,0.029,0.228,0.021,0.162,0.023,0.186
0.014,0.143,0.009,0.108,0.012,0.118,0.032,0.23,0.021,0.167,0.026,0.198
0.012,0.151,0.009,0.115,0.012,0.126,0.031,0.244,0.028,0.176,0.026,0.204
0.014,0.157,0.009,0.121,0.012,0.129,0.035,0.252,0.029,0.184,0.028,0.214
0.017,0.164,0.009,0.129,0.012,0.138,0.038,0.258,0.029,0.187,0.031,0.225
0.017,0.175,0.011,0.137,0.012,0.145,0.041,0.264,0.031,0.195,0.032,0.239
0.018,0.184,0.014,0.145,0.015,0.149,0.044,0.277,0.032,0.203,0.038,0.253
0.018,0.189,0.015,0.149,0.015,0.156,0.047,0.288,0.034,0.209,0.043,0.264
0.02,0.2,0.014,0.159,0.018,0.16,0.049,0.297,0.035,0.215,0.043,0.28
0.018,0.209,0.014,0.165,0.018,0.165,0.051,0.307,0.037,0.223,0.043,0.296
0.02,0.215,0.018,0.173,0.018,0.17,0.052,0.311,0.038,0.231,0.049,0.303
0.02,0.225,0.021,0.186,0.02,0.178,0.055,0.321,0.041,0.237,0.052,0.316
0.02,0.234,0.021,0.195,0.018,0.184,0.057,0.329,0.044,0.248,0.06,0.33
0.02,0.241,0.023,0.204,0.02,0.201,0.061,0.335,0.046,0.256,0.067,0.34
0.025,0.258,0.025,0.214,0.025,0.215,0.063,0.34,0.047,0.261,0.07,0.357
0.029,0.274,0.025,0.223,0.028,0.233,0.064,0.352,0.047,0.267,0.072,0.371
0.032,0.286,0.025,0.233,0.032,0.247,0.067,0.36,0.049,0.278,0.077,0.382
0.034,0.299,0.025,0.241,0.031,0.258,0.072,0.376,0.052,0.285,0.081,0.393
0.035,0.305,0.026,0.245,0.034,0.27,0.073,0.387,0.054,0.294,0.083,0.401
0.037,0.316,0.028,0.253,0.035,0.275,0.075,0.392,0.058,0.302,0.086,0.41
0.04,0.325,0.028,0.256,0.037,0.281,0.077,0.396,0.061,0.314,0.089,0.418
0.041,0.332,0.029,0.263,0.037,0.289,0.078,0.403,0.064,0.324,0.09,0.429
0.041,0.336,0.031,0.267,0.038,0.302,0.08,0.403,0.064,0.333,0.095,0.434
0.044,0.341,0.034,0.27,0.04,0.308,0.081,0.412,0.069,0.34,0.099,0.44
0.047,0.347,0.034,0.275,0.043,0.324,0.087,0.428,0.067,0.346,0.096,0.45
0.051,0.351,0.034,0.277,0.046,0.333,0.092,0.44,0.07,0.358,0.102,0.459
0.055,0.36,0.034,0.281,0.051,0.343,0.099,0.456,0.072,0.369,0.104,0.467
0.055,0.365,0.035,0.283,0.051,0.351,0.098,0.459,0.072,0.382,0.11,0.478
0.057,0.376,0.037,0.288,0.052,0.36,0.099,0.473,0.077,0.395,0.112,0.484
0.058,0.385,0.037,0.289,0.055,0.368,0.102,0.478,0.08,0.406,0.113,0.497
0.06,0.392,0.037,0.292,0.055,0.384,0.104,0.486,0.083,0.417,0.119,0.506
0.063,0.401,0.038,0.297,0.058,0.388,0.109,0.495,0.084,0.428,0.121,0.508
0.066,0.409,0.038,0.302,0.06,0.395,0.11,0.503,0.086,0.436,0.122,0.517
0.067,0.415,0.04,0.307,0.061,0.409,0.112,0.514,0.086,0.439,0.125,0.52
0.069,0.421,0.041,0.311,0.069,0.412,0.115,0.525,0.089,0.447,0.131,0.527
0.07,0.428,0.041,0.318,0.069,0.425,0.119,0.535,0.092,0.451,0.131,0.538
0.072,0.434,0.043,0.321,0.077,0.44,0.124,0.549,0.093,0.459,0.136,0.552
0.073,0.44,0.043,0.33,0.077,0.45,0.128,0.557,0.096,0.464,0.135,0.55
0.073,0.447,0.044,0.333,0.08,0.465,0.136,0.564,0.099,0.476,0.136,0.563
0.077,0.454,0.047,0.34,0.081,0.475,0.142,0.575,0.106,0.489,0.142,0.574
0.078,0.461,0.047,0.346,0.083,0.483,0.148,0.586,0.112,0.506,0.147,0.58
0.08,0.469,0.051,0.352,0.084,0.489,0.154,0.596,0.115,0.519,0.148,0.591
0.08,0.476,0.051,0.358,0.09,0.497,0.161,0.604,0.116,0.528,0.154,0.596
0.08,0.484,0.054,0.366,0.092,0.505,0.168,0.616,0.121,0.542,0.162,0.608
0.083,0.491,0.055,0.369,0.095,0.517,0.173,0.631,0.121,0.549,0.171,0.618
0.084,0.497,0.055,0.377,0.099,0.52,0.182,0.649,0.125,0.555,0.176,0.629
0.087,0.506,0.057,0.387,0.101,0.535,0.191,0.664,0.131,0.571,0.18,0.645
0.09,0.516,0.06,0.392,0.106,0.541,0.202,0.681,0.133,0.577,0.188,0.654
0.095,0.522,0.058,0.396,0.107,0.55,0.213,0.697,0.138,0.588,0.196,0.668
0.098,0.531,0.06,0.401,0.113,0.561,0.216,0.706,0.141,0.593,0.2,0.682
0.102,0.539,0.063,0.409,0.118,0.571,0.222,0.715,0.142,0.596,0.206,0.69
0.102,0.546,0.064,0.414,0.119,0.575,0.226,0.72,0.148,0.604,0.217,0.704
0.106,0.552,0.064,0.418,0.119,0.582,0.231,0.725,0.15,0.612,0.226,0.72
0.107,0.56,0.067,0.426,0.121,0.59,0.237,0.733,0.153,0.618,0.235,0.73
0.112,0.566,0.069,0.432,0.13,0.601,0.239,0.744,0.156,0.635,0.245,0.745
0.115,0.571,0.069,0.437,0.131,0.608,0.245,0.748,0.171,0.664,0.254,0.753
0.118,0.575,0.069,0.443,0.133,0.613,0.252,0.759,0.176,0.676,0.265,0.764
0.118,0.582,0.07,0.447,0.138,0.618,0.258,0.77,0.18,0.69,0.271,0.767
0.121,0.588,0.07,0.451,0.139,0.626,0.261,0.775,0.182,0.695,0.277,0.769
0.122,0.594,0.07,0.458,0.139,0.635,0.266,0.775,0.188,0.7,0.286,0.78
0.127,0.602,0.072,0.464,0.144,0.645,0.271,0.786,0.193,0.708,0.291,0.789
0.131,0.61,0.075,0.469,0.15,0.646,0.28,0.799,0.197,0.709,0.295,0.796
0.138,0.616,0.077,0.473,0.156,0.656,0.283,0.803,0.202,0.712,0.306,0.803
0.141,0.624,0.08,0.476,0.164,0.662,0.291,0.81,0.206,0.722,0.307,0.813
0.144,0.632,0.083,0.484,0.164,0.67,0.295,0.819,0.206,0.731,0.313,0.818
0.145,0.64,0.086,0.492,0.167,0.679,0.307,0.83,0.211,0.742,0.323,0.824
0.147,0.649,0.089,0.5,0.168,0.684,0.329,0.843,0.214,0.747,0.323,0.821
0.15,0.657,0.092,0.502,0.171,0.689,0.332,0.843,0.22,0.752,0.329,0.83
0.157,0.664,0.092,0.509,0.176,0.693,0.346,0.855,0.229,0.759,0.336,0.835
0.159,0.673,0.095,0.516,0.179,0.701,0.349,0.86,0.235,0.77,0.35,0.84
0.159,0.681,0.099,0.527,0.183,0.704,0.369,0.865,0.239,0.774,0.359,0.843
0.164,0.69,0.102,0.533,0.185,0.711,0.375,0.871,0.243,0.777,0.364,0.849
0.171,0.701,0.102,0.538,0.187,0.717,0.391,0.884,0.255,0.778,0.375,0.852
0.177,0.708,0.107,0.542,0.187,0.722,0.402,0.898,0.268,0.788,0.378,0.857
0.18,0.715,0.107,0.555,0.188,0.726,0.417,0.906,0.275,0.8,0.394,0.868
0.187,0.725,0.11,0.56,0.193,0.734,0.424,0.907,0.278,0.805,0.399,0.871
0.193,0.731,0.116,0.566,0.197,0.741,0.443,0.918,0.284,0.81,0.417,0.881
0.2,0.739,0.119,0.572,0.205,0.744,0.46,0.926,0.287,0.813,0.417,0.887
0.202,0.747,0.119,0.577,0.206,0.75,0.503,0.936,0.303,0.833,0.433,0.892
0.205,0.755,0.122,0.588,0.213,0.756,0.509,0.94,0.315,0.836,0.436,0.896
0.213,0.764,0.127,0.593,0.216,0.761,0.528,0.948,0.329,0.843,0.451,0.901
0.217,0.774,0.13,0.599,0.22,0.767,0.549,0.953,0.339,0.857,0.453,0.901
0.223,0.781,0.133,0.604,0.223,0.772,0.561,0.958,0.352,0.862,0.46,0.904
0.223,0.786,0.133,0.608,0.226,0.777,0.575,0.965,0.362,0.873,0.471,0.909
0.226,0.794,0.136,0.615,0.228,0.78,0.598,0.972,0.373,0.877,0.476,0.912
0.231,0.796,0.138,0.619,0.235,0.781,0.613,0.973,0.378,0.882,0.479,0.914
0.239,0.802,0.139,0.624,0.239,0.788,0.631,0.978,0.391,0.893,0.489,0.918
0.24,0.808,0.141,0.626,0.24,0.792,0.65,0.98,0.402,0.896,0.5,0.929
0.243,0.813,0.145,0.635,0.243,0.8,0.683,0.983,0.41,0.898,0.502,0.932
0.248,0.819,0.148,0.642,0.249,0.807,0.705,0.984,0.425,0.904,0.529,0.936
0.252,0.824,0.148,0.648,0.255,0.816,0.74,0.987,0.425,0.912,0.543,0.942
0.257,0.829,0.15,0.653,0.261,0.821,0.778,0.991,0.433,0.917,0.558,0.947
0.265,0.836,0.151,0.659,0.266,0.821,0.815,0.994,0.456,0.925,0.569,0.95
0.271,0.843,0.154,0.662,0.268,0.83,0.852,0.998,0.476,0.934,0.587,0.951
0.277,0.849,0.156,0.668,0.271,0.836,0.876,1,0.498,0.94,0.599,0.956
0.281,0.854,0.161,0.675,0.274,0.838,0.924,0.998,0.514,0.947,0.616,0.959
0.287,0.857,0.164,0.684,0.284,0.841,0.956,0.997,0.532,0.95,0.641,0.967
0.292,0.862,0.164,0.695,0.291,0.846,0.974,0.998,0.552,0.958,0.67,0.969
0.3,0.863,0.168,0.697,0.295,0.849,0.997,1,0.564,0.961,0.687,0.972
0.304,0.869,0.171,0.703,0.3,0.852,,,0.578,0.962,0.702,0.972
0.31,0.874,0.176,0.711,0.304,0.858,,,0.589,0.965,0.714,0.973
0.32,0.881,0.179,0.717,0.313,0.862,,,0.616,0.969,0.737,0.981
0.327,0.887,0.185,0.725,0.323,0.871,,,0.636,0.97,0.766,0.981
0.332,0.888,0.19,0.731,0.332,0.874,,,0.656,0.972,0.787,0.983
0.335,0.893,0.196,0.736,0.335,0.877,,,0.668,0.973,0.801,0.986
0.344,0.898,0.203,0.744,0.338,0.885,,,0.691,0.973,0.806,0.991
0.353,0.903,0.203,0.75,0.344,0.895,,,0.708,0.975,0.829,0.991
0.358,0.906,0.208,0.755,0.353,0.896,,,0.719,0.98,0.864,0.991
0.369,0.909,0.211,0.759,0.364,0.899,,,0.732,0.981,0.884,0.992
0.378,0.914,0.217,0.763,0.378,0.907,,,0.749,0.981,0.901,0.997
0.387,0.917,0.223,0.77,0.388,0.914,,,0.772,0.981,0.934,0.997
0.398,0.92,0.226,0.775,0.402,0.918,,,0.778,0.984,0.959,0.998
0.408,0.923,0.231,0.78,0.41,0.921,,,0.789,0.992,0.971,0.998
0.422,0.923,0.234,0.783,0.424,0.925,,,0.813,0.992,0.985,1
0.436,0.929,0.237,0.788,0.428,0.926,,,0.832,0.992,0.995,0.998
0.443,0.936,0.24,0.789,0.433,0.926,,,0.85,0.992,,
0.45,0.939,0.243,0.792,0.448,0.929,,,0.881,0.992,,
0.457,0.939,0.246,0.794,0.453,0.939,,,0.904,0.997,,
0.46,0.945,0.251,0.797,0.459,0.945,,,0.928,0.997,,
0.465,0.947,0.254,0.8,0.465,0.95,,,0.948,0.998,,
0.472,0.947,0.26,0.805,0.479,0.95,,,0.971,1,,
0.479,0.948,0.263,0.81,0.488,0.947,,,0.983,1,,
0.482,0.95,0.265,0.814,0.494,0.95,,,0.994,0.998,,
0.488,0.953,0.266,0.816,0.503,0.954,,,,,,
0.494,0.954,0.271,0.819,0.52,0.958,,,,,,
0.505,0.956,0.275,0.822,0.532,0.959,,,,,,
0.52,0.958,0.277,0.827,0.534,0.959,,,,,,
0.531,0.959,0.278,0.832,0.554,0.961,,,,,,
0.544,0.961,0.283,0.833,0.561,0.961,,,,,,
0.561,0.962,0.291,0.838,0.569,0.962,,,,,,
0.58,0.965,0.294,0.843,0.586,0.964,,,,,,
0.589,0.965,0.295,0.846,0.59,0.967,,,,,,
0.601,0.969,0.298,0.852,0.604,0.967,,,,,,
0.609,0.975,0.304,0.858,0.612,0.97,,,,,,
0.622,0.975,0.31,0.862,0.641,0.97,,,,,,
0.636,0.978,0.315,0.869,0.642,0.973,,,,,,
0.647,0.98,0.323,0.874,0.644,0.97,,,,,,
0.654,0.981,0.326,0.881,0.657,0.978,,,,,,
0.659,0.986,0.329,0.882,0.673,0.983,,,,,,
0.667,0.986,0.336,0.884,0.699,0.986,,,,,,
0.677,0.986,0.346,0.884,0.716,0.986,,,,,,
0.683,0.983,0.347,0.884,0.735,0.989,,,,,,
0.693,0.987,0.352,0.888,0.761,0.989,,,,,,
0.706,0.991,0.358,0.89,0.774,0.992,,,,,,
0.719,0.991,0.362,0.896,0.809,0.995,,,,,,
0.735,0.991,0.367,0.899,0.835,0.998,,,,,,
0.745,0.991,0.373,0.904,0.853,0.997,,,,,,
0.755,0.989,0.375,0.906,0.894,0.998,,,,,,
0.766,0.992,0.378,0.907,0.914,0.998,,,,,,
0.78,0.992,0.384,0.912,0.942,0.998,,,,,,
0.797,0.994,0.394,0.918,0.962,0.998,,,,,,
0.815,0.994,0.398,0.918,0.969,0.998,,,,,,
0.821,0.994,0.404,0.921,0.979,0.998,,,,,,
0.853,0.997,0.41,0.921,0.992,0.998,,,,,,
0.873,0.998,0.41,0.929,,,,,,,,
0.901,0.998,0.414,0.932,,,,,,,,
0.931,1,0.427,0.936,,,,,,,,
0.942,1,0.431,0.937,,,,,,,,
0.959,1,0.436,0.943,,,,,,,,
0.976,1,0.44,0.945,,,,,,,,
0.988,1,0.451,0.948,,,,,,,,
0.998,1,0.451,0.953,,,,,,,,
,,0.457,0.954,,,,,,,,
,,0.468,0.954,,,,,,,,
,,0.476,0.958,,,,,,,,
,,0.486,0.959,,,,,,,,
,,0.491,0.959,,,,,,,,
,,0.502,0.961,,,,,,,,
,,0.511,0.962,,,,,,,,
,,0.521,0.962,,,,,,,,
,,0.54,0.969,,,,,,,,
,,0.544,0.969,,,,,,,,
,,0.558,0.969,,,,,,,,
,,0.567,0.972,,,,,,,,
,,0.58,0.973,,,,,,,,
,,0.589,0.978,,,,,,,,
,,0.61,0.978,,,,,,,,
,,0.618,0.98,,,,,,,,
,,0.63,0.981,,,,,,,,
,,0.639,0.984,,,,,,,,
,,0.65,0.983,,,,,,,,
,,0.657,0.984,,,,,,,,
,,0.67,0.983,,,,,,,,
,,0.682,0.984,,,,,,,,
,,0.696,0.986,,,,,,,,
,,0.709,0.987,,,,,,,,
,,0.722,0.987,,,,,,,,
,,0.737,0.989,,,,,,,,
,,0.752,0.991,,,,,,,,
,,0.758,0.994,,,,,,,,
,,0.774,0.994,,,,,,,,
,,0.794,0.997,,,,,,,,
,,0.809,0.998,,,,,,,,
,,0.821,0.998,,,,,,,,
,,0.838,0.998,,,,,,,,
,,0.853,0.998,,,,,,,,
,,0.87,0.998,,,,,,,,
,,0.89,0.997,,,,,,,,
,,0.914,0.997,,,,,,,,
,,0.922,0.998,,,,,,,,
,,0.937,0.997,,,,,,,,
,,0.968,0.998,,,,,,,,
,,0.98,1,,,,,,,,
,,0.998,1,,,,,,,,
